data;zona;nome stazione;inquinante;valore
17/01/2025;Sud-Ovest;via Senato;PM10;48
17/01/2025;Sud-Ovest;via Senato;PM25;29
17/01/2025;Centro;Verziere;NO2;0
17/01/2025;Centro;Verziere;O3;0
17/01/2025;Centro;Verziere;PM10;52
20/01/2025;Nord;via Pascal;C6H6;2
20/01/2025;Nord;via Pascal;NO2;71
20/01/2025;Nord;via Pascal;O3;36
20/01/2025;Nord;via Pascal;PM10;32
20/01/2025;Nord;via Pascal;PM25;26
20/01/2025;Nord;via Pascal;SO2;2.5
20/01/2025;Centro;viale Liguria;NO2;71
20/01/2025;Est;viale Marche;C6H6;2
20/01/2025;Est;viale Marche;CO_8h;1.9
20/01/2025;Est;viale Marche;NO2;61
20/01/2025;Est;viale Marche;PM10;45
20/01/2025;Est;viale Marche;PM25;33
20/01/2025;Sud-Ovest;via Senato;C6H6;2.6
20/01/2025;Sud-Ovest;via Senato;CO_8h;1.2
20/01/2025;Sud-Ovest;via Senato;NO2;82
20/01/2025;Sud-Ovest;via Senato;PM10;33
20/01/2025;Sud-Ovest;via Senato;PM25;26
20/01/2025;Centro;Verziere;NO2;88
20/01/2025;Centro;Verziere;O3;35
20/01/2025;Centro;Verziere;PM10;36
21/01/2025;Nord;via Pascal;C6H6;1.5
21/01/2025;Nord;via Pascal;NO2;69
21/01/2025;Nord;via Pascal;O3;36
21/01/2025;Nord;via Pascal;PM10;19
21/01/2025;Nord;via Pascal;PM25;14
21/01/2025;Nord;via Pascal;SO2;2.5
21/01/2025;Centro;viale Liguria;NO2;73
21/01/2025;Est;viale Marche;C6H6;1.9
21/01/2025;Est;viale Marche;CO_8h;1.4
21/01/2025;Est;viale Marche;NO2;57
21/01/2025;Est;viale Marche;PM10;23
21/01/2025;Est;viale Marche;PM25;18
21/01/2025;Sud-Ovest;via Senato;C6H6;2.1
21/01/2025;Sud-Ovest;via Senato;CO_8h;0.6
21/01/2025;Sud-Ovest;via Senato;NO2;85
21/01/2025;Sud-Ovest;via Senato;PM10;18
21/01/2025;Sud-Ovest;via Senato;PM25;15
21/01/2025;Centro;Verziere;NO2;84
21/01/2025;Centro;Verziere;O3;36
21/01/2025;Centro;Verziere;PM10;21
22/01/2025;Nord;via Pascal;C6H6;1.3
22/01/2025;Nord;via Pascal;NO2;55
22/01/2025;Nord;via Pascal;O3;40
22/01/2025;Nord;via Pascal;PM10;26
22/01/2025;Nord;via Pascal;PM25;20
22/01/2025;Nord;via Pascal;SO2;2.5
22/01/2025;Centro;viale Liguria;NO2;62
22/01/2025;Est;viale Marche;C6H6;1.2
22/01/2025;Est;viale Marche;CO_8h;1.3
22/01/2025;Est;viale Marche;NO2;44
22/01/2025;Est;viale Marche;PM10;28
22/01/2025;Est;viale Marche;PM25;22
22/01/2025;Sud-Ovest;via Senato;C6H6;1.9
22/01/2025;Sud-Ovest;via Senato;CO_8h;0.6
22/01/2025;Sud-Ovest;via Senato;NO2;52
22/01/2025;Sud-Ovest;via Senato;PM10;29
22/01/2025;Sud-Ovest;via Senato;PM25;19
22/01/2025;Centro;Verziere;NO2;56
22/01/2025;Centro;Verziere;O3;35
22/01/2025;Centro;Verziere;PM10;28
23/01/2025;Nord;via Pascal;C6H6;1.4
23/01/2025;Nord;via Pascal;NO2;45
23/01/2025;Nord;via Pascal;O3;43
23/01/2025;Nord;via Pascal;PM10;26
23/01/2025;Nord;via Pascal;PM25;20
23/01/2025;Nord;via Pascal;SO2;2.5
23/01/2025;Centro;viale Liguria;NO2;52
23/01/2025;Est;viale Marche;C6H6;1.8
23/01/2025;Est;viale Marche;CO_8h;1.5
23/01/2025;Est;viale Marche;NO2;39
23/01/2025;Est;viale Marche;PM10;35
23/01/2025;Est;viale Marche;PM25;26
23/01/2025;Sud-Ovest;via Senato;C6H6;2.2
23/01/2025;Sud-Ovest;via Senato;CO_8h;0.6
23/01/2025;Sud-Ovest;via Senato;NO2;52
23/01/2025;Sud-Ovest;via Senato;PM10;27
23/01/2025;Sud-Ovest;via Senato;PM25;21
23/01/2025;Centro;Verziere;NO2;60
23/01/2025;Centro;Verziere;O3;34
23/01/2025;Centro;Verziere;PM10;26
24/01/2025;Nord;via Pascal;C6H6;1.4
24/01/2025;Nord;via Pascal;NO2;49
24/01/2025;Nord;via Pascal;O3;39
24/01/2025;Nord;via Pascal;PM10;20
24/01/2025;Nord;via Pascal;PM25;15
24/01/2025;Nord;via Pascal;SO2;2.5
24/01/2025;Centro;viale Liguria;NO2;62
24/01/2025;Est;viale Marche;C6H6;1.5
24/01/2025;Est;viale Marche;CO_8h;1.5
24/01/2025;Est;viale Marche;NO2;50
24/01/2025;Est;viale Marche;PM10;24
24/01/2025;Est;viale Marche;PM25;17
24/01/2025;Sud-Ovest;via Senato;C6H6;2
24/01/2025;Sud-Ovest;via Senato;CO_8h;0.6
24/01/2025;Sud-Ovest;via Senato;NO2;56
24/01/2025;Sud-Ovest;via Senato;PM10;21
24/01/2025;Sud-Ovest;via Senato;PM25;16
24/01/2025;Centro;Verziere;NO2;61
24/01/2025;Centro;Verziere;O3;24
24/01/2025;Centro;Verziere;PM10;19
27/01/2025;Nord;via Pascal;C6H6;1.5
27/01/2025;Nord;via Pascal;NO2;38
27/01/2025;Nord;via Pascal;O3;21
27/01/2025;Nord;via Pascal;PM10;14
27/01/2025;Nord;via Pascal;PM25;10
27/01/2025;Nord;via Pascal;SO2;2.5
27/01/2025;Centro;viale Liguria;NO2;45
27/01/2025;Est;viale Marche;C6H6;1.5
27/01/2025;Est;viale Marche;CO_8h;1.7
27/01/2025;Est;viale Marche;NO2;37
27/01/2025;Est;viale Marche;PM10;19
27/01/2025;Est;viale Marche;PM25;11
27/01/2025;Sud-Ovest;via Senato;C6H6;1.9
27/01/2025;Sud-Ovest;via Senato;CO_8h;0.7
27/01/2025;Sud-Ovest;via Senato;NO2;47
27/01/2025;Sud-Ovest;via Senato;PM10;12
27/01/2025;Sud-Ovest;via Senato;PM25;8
27/01/2025;Centro;Verziere;NO2;55
27/01/2025;Centro;Verziere;O3;17
27/01/2025;Centro;Verziere;PM10;11
28/01/2025;Nord;via Pascal;C6H6;1.5
28/01/2025;Nord;via Pascal;NO2;48
28/01/2025;Nord;via Pascal;O3;11
28/01/2025;Nord;via Pascal;PM10;12
28/01/2025;Nord;via Pascal;PM25;10
28/01/2025;Nord;via Pascal;SO2;2.5
28/01/2025;Centro;viale Liguria;NO2;53
28/01/2025;Est;viale Marche;C6H6;1.7
28/01/2025;Est;viale Marche;CO_8h;1.7
28/01/2025;Est;viale Marche;NO2;45
28/01/2025;Est;viale Marche;PM10;15
28/01/2025;Est;viale Marche;PM25;13
28/01/2025;Sud-Ovest;via Senato;C6H6;1.9
28/01/2025;Sud-Ovest;via Senato;CO_8h;0.6
28/01/2025;Sud-Ovest;via Senato;NO2;52
28/01/2025;Sud-Ovest;via Senato;PM10;18
28/01/2025;Sud-Ovest;via Senato;PM25;12
28/01/2025;Centro;Verziere;NO2;59
28/01/2025;Centro;Verziere;O3;12
28/01/2025;Centro;Verziere;PM10;12
29/01/2025;Nord;via Pascal;C6H6;1.6
29/01/2025;Nord;via Pascal;NO2;59
29/01/2025;Nord;via Pascal;O3;24
29/01/2025;Nord;via Pascal;PM10;17
29/01/2025;Nord;via Pascal;PM25;12
29/01/2025;Nord;via Pascal;SO2;2.5
29/01/2025;Centro;viale Liguria;NO2;64
29/01/2025;Est;viale Marche;C6H6;1.6
29/01/2025;Est;viale Marche;CO_8h;1.9
29/01/2025;Est;viale Marche;NO2;46
29/01/2025;Est;viale Marche;PM10;16
29/01/2025;Est;viale Marche;PM25;11
29/01/2025;Sud-Ovest;via Senato;C6H6;2.2
29/01/2025;Sud-Ovest;via Senato;CO_8h;0.8
29/01/2025;Sud-Ovest;via Senato;NO2;61
29/01/2025;Sud-Ovest;via Senato;PM10;16
29/01/2025;Sud-Ovest;via Senato;PM25;11
29/01/2025;Centro;Verziere;NO2;79
29/01/2025;Centro;Verziere;O3;18
29/01/2025;Centro;Verziere;PM10;12
07/02/2025;Nord;via Pascal;C6H6;3.3
07/02/2025;Nord;via Pascal;NO2;74
07/02/2025;Nord;via Pascal;O3;49
07/02/2025;Nord;via Pascal;PM10;51
07/02/2025;Nord;via Pascal;PM25;37
07/02/2025;Nord;via Pascal;SO2;5
07/02/2025;Centro;viale Liguria;NO2;78
07/02/2025;Est;viale Marche;C6H6;3.2
07/02/2025;Est;viale Marche;CO_8h;0
07/02/2025;Est;viale Marche;NO2;72
07/02/2025;Est;viale Marche;PM10;81
07/02/2025;Est;viale Marche;PM25;53
07/02/2025;Sud-Ovest;via Senato;C6H6;4.8
07/02/2025;Sud-Ovest;via Senato;CO_8h;1.7
07/02/2025;Sud-Ovest;via Senato;NO2;87
07/02/2025;Sud-Ovest;via Senato;PM10;58
07/02/2025;Sud-Ovest;via Senato;PM25;46
07/02/2025;Centro;Verziere;NO2;92
07/02/2025;Centro;Verziere;O3;43
07/02/2025;Centro;Verziere;PM10;64
10/02/2025;Nord;via Pascal;C6H6;1.2
10/02/2025;Nord;via Pascal;NO2;50
10/02/2025;Nord;via Pascal;O3;49
10/02/2025;Nord;via Pascal;PM10;18
10/02/2025;Nord;via Pascal;PM25;15
10/02/2025;Nord;via Pascal;SO2;2.5
10/02/2025;Centro;viale Liguria;NO2;45
10/02/2025;Est;viale Marche;C6H6;1.2
10/02/2025;Est;viale Marche;CO_8h;0
10/02/2025;Est;viale Marche;NO2;51
10/02/2025;Est;viale Marche;PM10;20
10/02/2025;Est;viale Marche;PM25;18
10/02/2025;Sud-Ovest;via Senato;C6H6;1.5
10/02/2025;Sud-Ovest;via Senato;CO_8h;0.6
10/02/2025;Sud-Ovest;via Senato;NO2;52
10/02/2025;Sud-Ovest;via Senato;PM10;16
10/02/2025;Sud-Ovest;via Senato;PM25;17
10/02/2025;Centro;Verziere;NO2;59
10/02/2025;Centro;Verziere;O3;46
10/02/2025;Centro;Verziere;PM10;16
11/02/2025;Nord;via Pascal;C6H6;1.6
11/02/2025;Nord;via Pascal;NO2;55
11/02/2025;Nord;via Pascal;O3;30
11/02/2025;Nord;via Pascal;PM10;26
11/02/2025;Nord;via Pascal;PM25;20
11/02/2025;Nord;via Pascal;SO2;2.5
11/02/2025;Centro;viale Liguria;NO2;57
11/02/2025;Est;viale Marche;C6H6;1.5
11/02/2025;Est;viale Marche;CO_8h;
11/02/2025;Est;viale Marche;NO2;48
11/02/2025;Est;viale Marche;PM10;31
11/02/2025;Est;viale Marche;PM25;26
11/02/2025;Sud-Ovest;via Senato;C6H6;2.1
11/02/2025;Sud-Ovest;via Senato;CO_8h;0.6
11/02/2025;Sud-Ovest;via Senato;NO2;45
11/02/2025;Sud-Ovest;via Senato;PM10;26
11/02/2025;Sud-Ovest;via Senato;PM25;21
11/02/2025;Centro;Verziere;NO2;59
11/02/2025;Centro;Verziere;O3;32
11/02/2025;Centro;Verziere;PM10;25
12/02/2025;Nord;via Pascal;C6H6;1.6
12/02/2025;Nord;via Pascal;NO2;58
12/02/2025;Nord;via Pascal;O3;29
12/02/2025;Nord;via Pascal;PM10;29
12/02/2025;Nord;via Pascal;PM25;20
12/02/2025;Nord;via Pascal;SO2;2.5
12/02/2025;Centro;viale Liguria;NO2;68
12/02/2025;Est;viale Marche;C6H6;2
12/02/2025;Est;viale Marche;CO_8h;0
12/02/2025;Est;viale Marche;NO2;55
12/02/2025;Est;viale Marche;PM10;41
12/02/2025;Est;viale Marche;PM25;30
12/02/2025;Sud-Ovest;via Senato;C6H6;2.3
12/02/2025;Sud-Ovest;via Senato;CO_8h;0.6
12/02/2025;Sud-Ovest;via Senato;NO2;59
12/02/2025;Sud-Ovest;via Senato;PM10;29
12/02/2025;Sud-Ovest;via Senato;PM25;23
12/02/2025;Centro;Verziere;NO2;70
12/02/2025;Centro;Verziere;O3;25
12/02/2025;Centro;Verziere;PM10;28
13/02/2025;Nord;via Pascal;C6H6;1.6
13/02/2025;Nord;via Pascal;NO2;40
13/02/2025;Nord;via Pascal;O3;36
13/02/2025;Nord;via Pascal;PM10;29
13/02/2025;Nord;via Pascal;PM25;21
13/02/2025;Nord;via Pascal;SO2;2.5
13/02/2025;Centro;viale Liguria;NO2;49
13/02/2025;Est;viale Marche;C6H6;1.9
13/02/2025;Est;viale Marche;CO_8h;
13/02/2025;Est;viale Marche;NO2;43
13/02/2025;Est;viale Marche;PM10;31
13/02/2025;Est;viale Marche;PM25;24
13/02/2025;Sud-Ovest;via Senato;C6H6;2.2
13/02/2025;Sud-Ovest;via Senato;CO_8h;0.5
13/02/2025;Sud-Ovest;via Senato;NO2;39
13/02/2025;Sud-Ovest;via Senato;PM10;25
13/02/2025;Sud-Ovest;via Senato;PM25;23
13/02/2025;Centro;Verziere;NO2;55
13/02/2025;Centro;Verziere;O3;35
13/02/2025;Centro;Verziere;PM10;26
14/02/2025;Nord;via Pascal;C6H6;1.7
14/02/2025;Nord;via Pascal;NO2;50
14/02/2025;Nord;via Pascal;O3;11
14/02/2025;Nord;via Pascal;PM10;43
14/02/2025;Nord;via Pascal;PM25;29
14/02/2025;Nord;via Pascal;SO2;2.5
14/02/2025;Centro;viale Liguria;NO2;49
14/02/2025;Est;viale Marche;C6H6;2.1
14/02/2025;Est;viale Marche;CO_8h;
14/02/2025;Est;viale Marche;NO2;44
14/02/2025;Est;viale Marche;PM10;53
14/02/2025;Est;viale Marche;PM25;37
14/02/2025;Sud-Ovest;via Senato;C6H6;2.9
14/02/2025;Sud-Ovest;via Senato;CO_8h;0.7
14/02/2025;Sud-Ovest;via Senato;NO2;45
14/02/2025;Sud-Ovest;via Senato;PM10;43
14/02/2025;Sud-Ovest;via Senato;PM25;33
14/02/2025;Centro;Verziere;NO2;57
14/02/2025;Centro;Verziere;O3;15
14/02/2025;Centro;Verziere;PM10;45
17/02/2025;Nord;via Pascal;C6H6;1.5
17/02/2025;Nord;via Pascal;NO2;51
17/02/2025;Nord;via Pascal;O3;58
17/02/2025;Nord;via Pascal;PM10;32
17/02/2025;Nord;via Pascal;PM25;25
17/02/2025;Nord;via Pascal;SO2;2.5
17/02/2025;Centro;viale Liguria;NO2;53
17/02/2025;Est;viale Marche;C6H6;1.6
17/02/2025;Est;viale Marche;CO_8h;0.7
17/02/2025;Est;viale Marche;NO2;49
17/02/2025;Est;viale Marche;PM10;45
